store_id,model,validation_start,validation_end,forecast_horizon,rmse,mape_percent
1,naive,2024-02-11,2024-06-03,114,6941.480675,20.9340217905
1,seasonal_naive,2024-02-11,2024-06-03,114,4763.76391472,10.1037661262
1,arima,2024-02-11,2024-06-03,114,6282.63251686,18.5959626875
2,naive,2024-02-11,2024-06-03,114,1296.39133911,15.8597445251
2,seasonal_naive,2024-02-11,2024-06-03,114,759.69675207,8.59780077311
2,arima,2024-02-11,2024-06-03,114,1112.21095538,14.3754788489
3,naive,2024-02-11,2024-06-03,114,3122.45880793,35.1611362736
3,seasonal_naive,2024-02-11,2024-06-03,114,1305.73524114,15.2431716328
3,arima,2024-02-11,2024-06-03,114,2008.34818483,28.5553278154
4,naive,2024-02-11,2024-06-03,114,11541.6379774,36.3830265509
4,seasonal_naive,2024-02-11,2024-06-03,114,6063.05590561,14.0605350779
4,arima,2024-02-11,2024-06-03,114,11369.6718689,35.8095262706
