store_id,model,configuration,season_length,order,lead_time_days,service_level,z_value,mean_daily_demand,std_daily_demand,expected_lead_time_demand,safety_stock,reorder_point
1,feature_gbm,"HistGradientBoostingRegressor(learning_rate=0.1, max_iter=200, max_depth=3, min_samples_leaf=5, l2_regularization=1.0, early_stopping=False, random_state=0)",,,7,0.9,1.2815515655446004,29711.253351503758,5255.513309107013,207978.7734605263,17819.694151154123,225798.46761168045
1,feature_gbm,"HistGradientBoostingRegressor(learning_rate=0.1, max_iter=200, max_depth=3, min_samples_leaf=5, l2_regularization=1.0, early_stopping=False, random_state=0)",,,7,0.95,1.6448536269514722,29711.253351503758,5255.513309107013,207978.7734605263,22871.329834657143,230850.10329518345
1,feature_gbm,"HistGradientBoostingRegressor(learning_rate=0.1, max_iter=200, max_depth=3, min_samples_leaf=5, l2_regularization=1.0, early_stopping=False, random_state=0)",,,7,0.99,2.3263478740408408,29711.253351503758,5255.513309107013,207978.7734605263,32347.358248498575,240326.1317090249
1,feature_gbm,"HistGradientBoostingRegressor(learning_rate=0.1, max_iter=200, max_depth=3, min_samples_leaf=5, l2_regularization=1.0, early_stopping=False, random_state=0)",,,14,0.9,1.2815515655446004,29711.253351503758,5255.513309107013,415957.5469210526,25200.853145902674,441158.4000669553
1,feature_gbm,"HistGradientBoostingRegressor(learning_rate=0.1, max_iter=200, max_depth=3, min_samples_leaf=5, l2_regularization=1.0, early_stopping=False, random_state=0)",,,14,0.95,1.6448536269514722,29711.253351503758,5255.513309107013,415957.5469210526,32344.944841680528,448302.49176273315
1,feature_gbm,"HistGradientBoostingRegressor(learning_rate=0.1, max_iter=200, max_depth=3, min_samples_leaf=5, l2_regularization=1.0, early_stopping=False, random_state=0)",,,14,0.99,2.3263478740408408,29711.253351503758,5255.513309107013,415957.5469210526,45746.07274196789,461703.6196630205
1,feature_gbm,"HistGradientBoostingRegressor(learning_rate=0.1, max_iter=200, max_depth=3, min_samples_leaf=5, l2_regularization=1.0, early_stopping=False, random_state=0)",,,28,0.9,1.2815515655446004,29711.253351503758,5255.513309107013,831915.0938421052,35639.388302308245,867554.4821444135
1,feature_gbm,"HistGradientBoostingRegressor(learning_rate=0.1, max_iter=200, max_depth=3, min_samples_leaf=5, l2_regularization=1.0, early_stopping=False, random_state=0)",,,28,0.95,1.6448536269514722,29711.253351503758,5255.513309107013,831915.0938421052,45742.659669314286,877657.7535114195
1,feature_gbm,"HistGradientBoostingRegressor(learning_rate=0.1, max_iter=200, max_depth=3, min_samples_leaf=5, l2_regularization=1.0, early_stopping=False, random_state=0)",,,28,0.99,2.3263478740408408,29711.253351503758,5255.513309107013,831915.0938421052,64694.71649699715,896609.8103391024
2,feature_gbm,"HistGradientBoostingRegressor(learning_rate=0.1, max_iter=200, max_depth=3, min_samples_leaf=5, l2_regularization=1.0, early_stopping=False, random_state=0)",,,7,0.9,1.2815515655446004,6355.192285714286,1018.3558819493936,44486.346000000005,3452.9054130490645,47939.25141304907
