path	sha256	bytes
data\analysis\.gitkeep	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	0
data\analysis\eda_category_summary.csv	3234060d7e06724d7236161ce2d818512a16fc91931efb10522c1e851241a47a	7714
data\analysis\eda_correlation.csv	06746cbe68fcab269c707eacc24c34770f78e1bc262ff318c2169f9205538880	1113
data\analysis\eda_findings.txt	6854c7451c83c56fd8a913cc87e0a99c05ec5837a0787485e2a732113a8115f6	1591
data\analysis\eda_monthly_demand.csv	e0dd5efce5bcc807f3ffb9853b7a6c354af8d6488d9fad47a3c0d2b6f4e4b22b	1162
data\analysis\eda_store_summary.csv	78a0f72ac9faba173ff49cfe7919a7d4314aa96253fc38af93323c5b3935b132	185
data\analysis\eda_summary.csv	bef6733bda2a204509a8fba76e66ab1358a104b4ce8104fb0ffbfed85b73445f	1250
data\analysis\eda_top_items.csv	acce80967502beb79c21ea85a02d4db3f84ebeb6d16b2437724c31bd90725925	3948
data\analysis\feature_engineering_feature_summary.csv	987cfb2f9dffbd6db2734e25288bc804fe7dbfcdb58bb64a31be40547c80f71b	819
data\analysis\feature_engineering_findings.txt	9532099ccd382340826c41d8b5ce83a95179c4c0e6b658a3f1db6f625cf2854b	1673
data\analysis\feature_engineering_quality_report.csv	1d52cf0bb7510a180fc0d384012883b13396c070a6b20a2d88670988524cd15b	640
data\analysis\feature_engineering_split_summary.csv	8ef269329af82d2ec994a89a72cd8d7025ddebb88ed92be441a446d5f08ae7c1	191
data\analysis\feature_engineering_summary.csv	a13f45259e4135873c5b2f532fc3ea1311da91e79af942cfe59005ae412593da	227
data\analysis\forecasting_findings.txt	7e81eb30be6627e9016aa7557424d5385a6c9bdef1bde084101f897196afac74	2551
data\analysis\forecasting_inventory_findings.txt	2621d83831276a04c4bd0d0b58975c7e8d2ff9b99a26e4c78e16940fe862da2c	3194
data\analysis\forecasting_inventory_quality_report.csv	498c6afc0db4b9fea3c48c0fd87dcc8d2264cce694bae0c668fd0337ea1c09e8	2878
data\analysis\forecasting_model_configurations.csv	cc5f2a90b8bc4030ce0baea024025addbcb4ba1f70f107467b544dc9235720f8	1271
data\analysis\forecasting_model_results.csv	9024255cf5a2a28a4a69f89ec977cb4b1959b9feefd0dd1719276d3a49c83583	872
data\analysis\forecasting_predictions.csv	c9b2deab3c684cca740e5ba85d167e9434ff866ff18373e506f57198ef6849ea	58997
