path	classification	baseline_sha256	current_sha256	status
data\analysis\.gitkeep	generated-analysis	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	IDENTICAL
data\analysis\eda_category_summary.csv	generated-analysis	3234060d7e06724d7236161ce2d818512a16fc91931efb10522c1e851241a47a	3234060d7e06724d7236161ce2d818512a16fc91931efb10522c1e851241a47a	IDENTICAL
data\analysis\eda_correlation.csv	generated-analysis	06746cbe68fcab269c707eacc24c34770f78e1bc262ff318c2169f9205538880	06746cbe68fcab269c707eacc24c34770f78e1bc262ff318c2169f9205538880	IDENTICAL
data\analysis\eda_findings.txt	generated-analysis	6854c7451c83c56fd8a913cc87e0a99c05ec5837a0787485e2a732113a8115f6	6854c7451c83c56fd8a913cc87e0a99c05ec5837a0787485e2a732113a8115f6	IDENTICAL
data\analysis\eda_monthly_demand.csv	generated-analysis	e0dd5efce5bcc807f3ffb9853b7a6c354af8d6488d9fad47a3c0d2b6f4e4b22b	e0dd5efce5bcc807f3ffb9853b7a6c354af8d6488d9fad47a3c0d2b6f4e4b22b	IDENTICAL
data\analysis\eda_store_summary.csv	generated-analysis	78a0f72ac9faba173ff49cfe7919a7d4314aa96253fc38af93323c5b3935b132	78a0f72ac9faba173ff49cfe7919a7d4314aa96253fc38af93323c5b3935b132	IDENTICAL
data\analysis\eda_summary.csv	generated-analysis	bef6733bda2a204509a8fba76e66ab1358a104b4ce8104fb0ffbfed85b73445f	bef6733bda2a204509a8fba76e66ab1358a104b4ce8104fb0ffbfed85b73445f	IDENTICAL
data\analysis\eda_top_items.csv	generated-analysis	acce80967502beb79c21ea85a02d4db3f84ebeb6d16b2437724c31bd90725925	acce80967502beb79c21ea85a02d4db3f84ebeb6d16b2437724c31bd90725925	IDENTICAL
data\analysis\feature_engineering_feature_summary.csv	generated-analysis	987cfb2f9dffbd6db2734e25288bc804fe7dbfcdb58bb64a31be40547c80f71b	987cfb2f9dffbd6db2734e25288bc804fe7dbfcdb58bb64a31be40547c80f71b	IDENTICAL
data\analysis\feature_engineering_findings.txt	generated-analysis	9532099ccd382340826c41d8b5ce83a95179c4c0e6b658a3f1db6f625cf2854b	9532099ccd382340826c41d8b5ce83a95179c4c0e6b658a3f1db6f625cf2854b	IDENTICAL
data\analysis\feature_engineering_quality_report.csv	generated-analysis	1d52cf0bb7510a180fc0d384012883b13396c070a6b20a2d88670988524cd15b	1d52cf0bb7510a180fc0d384012883b13396c070a6b20a2d88670988524cd15b	IDENTICAL
data\analysis\feature_engineering_split_summary.csv	generated-analysis	8ef269329af82d2ec994a89a72cd8d7025ddebb88ed92be441a446d5f08ae7c1	8ef269329af82d2ec994a89a72cd8d7025ddebb88ed92be441a446d5f08ae7c1	IDENTICAL
data\analysis\feature_engineering_summary.csv	generated-analysis	a13f45259e4135873c5b2f532fc3ea1311da91e79af942cfe59005ae412593da	a13f45259e4135873c5b2f532fc3ea1311da91e79af942cfe59005ae412593da	IDENTICAL
data\analysis\forecasting_findings.txt	generated-analysis	7e81eb30be6627e9016aa7557424d5385a6c9bdef1bde084101f897196afac74	7e81eb30be6627e9016aa7557424d5385a6c9bdef1bde084101f897196afac74	IDENTICAL
data\analysis\forecasting_inventory_findings.txt	generated-analysis	2621d83831276a04c4bd0d0b58975c7e8d2ff9b99a26e4c78e16940fe862da2c	2621d83831276a04c4bd0d0b58975c7e8d2ff9b99a26e4c78e16940fe862da2c	IDENTICAL
data\analysis\forecasting_inventory_quality_report.csv	generated-analysis	498c6afc0db4b9fea3c48c0fd87dcc8d2264cce694bae0c668fd0337ea1c09e8	498c6afc0db4b9fea3c48c0fd87dcc8d2264cce694bae0c668fd0337ea1c09e8	IDENTICAL
data\analysis\forecasting_model_configurations.csv	generated-analysis	cc5f2a90b8bc4030ce0baea024025addbcb4ba1f70f107467b544dc9235720f8	cc5f2a90b8bc4030ce0baea024025addbcb4ba1f70f107467b544dc9235720f8	IDENTICAL
data\analysis\forecasting_model_results.csv	generated-analysis	9024255cf5a2a28a4a69f89ec977cb4b1959b9feefd0dd1719276d3a49c83583	9024255cf5a2a28a4a69f89ec977cb4b1959b9feefd0dd1719276d3a49c83583	IDENTICAL
data\analysis\forecasting_predictions.csv	generated-analysis	c9b2deab3c684cca740e5ba85d167e9434ff866ff18373e506f57198ef6849ea	c9b2deab3c684cca740e5ba85d167e9434ff866ff18373e506f57198ef6849ea	IDENTICAL
data\analysis\forecasting_quality_report.csv	generated-analysis	472ba82696d3405b66aba68b65b48f9eb4e7af4238d4d8951ff2c8ac8e8f9146	472ba82696d3405b66aba68b65b48f9eb4e7af4238d4d8951ff2c8ac8e8f9146	IDENTICAL
data\analysis\forecasting_summary.csv	generated-analysis	de2698c664b0d0c7ecabaf834422305e113118bd20e4e3192c65f857fab3473e	de2698c664b0d0c7ecabaf834422305e113118bd20e4e3192c65f857fab3473e	IDENTICAL
data\analysis\forecast_inventory_insights.csv	generated-analysis	99027d1fb98c0c7cf62f4df22adcecabb9581f62ca3f769f3b72d8ce246690de	99027d1fb98c0c7cf62f4df22adcecabb9581f62ca3f769f3b72d8ce246690de	IDENTICAL
data\analysis\inventory_demand_summary.csv	generated-analysis	4857c52d6e345d5b1855fa186868489c357aefa0d2c710779fc538252470a346	4857c52d6e345d5b1855fa186868489c357aefa0d2c710779fc538252470a346	IDENTICAL
data\analysis\inventory_densification_summary.csv	generated-analysis	738a30d447e3d9cf5d5e7622bf5b8808e0a091c3709e92fa43d541c715313456	738a30d447e3d9cf5d5e7622bf5b8808e0a091c3709e92fa43d541c715313456	IDENTICAL
data\analysis\inventory_forecast_error_summary.csv	generated-analysis	5355e85cbcdfdf6bbfdf3e52bb20e05ac99ff23cfc68b5c91b0a63cd8cf95533	5355e85cbcdfdf6bbfdf3e52bb20e05ac99ff23cfc68b5c91b0a63cd8cf95533	IDENTICAL
data\analysis\inventory_forecast_scenarios.csv	generated-analysis	bdf3fc17606be4c0e5fbec997bedd157403053863e3be1dab1d7fdcf9b9b1847	bdf3fc17606be4c0e5fbec997bedd157403053863e3be1dab1d7fdcf9b9b1847	IDENTICAL
data\analysis\inventory_scenarios.csv	generated-analysis	d81dc98f8d5467b38871aaaec2280f6b8014ab499ee83b0f19ee9bcdc7126cb0	d81dc98f8d5467b38871aaaec2280f6b8014ab499ee83b0f19ee9bcdc7126cb0	IDENTICAL
data\analysis\inventory_variability_summary.csv	generated-analysis	7b649bfab58b1c40a6c846eee20c1e88088afc9cb19e82eb4282e3503ee2080b	7b649bfab58b1c40a6c846eee20c1e88088afc9cb19e82eb4282e3503ee2080b	IDENTICAL
data\analysis\model_error_analysis.csv	generated-analysis	15de5c57ab8c57f48ced18f561691ef2a306b43ba8e9126c23896c2ff7bbc930	15de5c57ab8c57f48ced18f561691ef2a306b43ba8e9126c23896c2ff7bbc930	IDENTICAL
data\analysis\model_evaluation_findings.txt	generated-analysis	353fba38f9be4b74187c8f926fcbca0987b2e6e726996a4cdbbe11b0a1276b53	353fba38f9be4b74187c8f926fcbca0987b2e6e726996a4cdbbe11b0a1276b53	IDENTICAL
data\analysis\model_evaluation_predictions.csv	generated-analysis	5a231bd087e7f601533a1f45423d1c844ac80d926b34ea034d738fd968b95106	5a231bd087e7f601533a1f45423d1c844ac80d926b34ea034d738fd968b95106	IDENTICAL
data\analysis\model_evaluation_quality_report.csv	generated-analysis	bedb86412cba943ea58a26d990464250d917f96308d988e18eb1535edc603f22	bedb86412cba943ea58a26d990464250d917f96308d988e18eb1535edc603f22	IDENTICAL
